CVEGEO,p60,ab_sh,cplus_sh,c_sh,cminus_sh,dplus_sh,d_sh,e_sh,centroid_lat,centroid_lon,demanda,dem_ab,dem_cplus,dem_c,dem_cminus,dem_dplus,dem_d,dem_e,seg_premium,seg_financia,seg_contado,seg_publico,cap_credito,ing_prom,prioridad_A,pct_publico,pct_privado,dem_publico,dem_privado_directo,oferta_2km,desatencion
0200400011488,1038.0,0.2422517394054396,0.3092979127134725,0.2169512966476913,0.1321948134092346,0.0600885515496521,0.0373181530676786,0.0018975332068311,32.51914636480367,-117.11175025450189,62.28,15.087438330170778,19.263074003795065,13.511726755218216,8.233092979127134,3.742314990512334,2.324174573055028,0.1181783681214421,15.087438330170778,32.77480075901328,6.066489563567362,8.351271347248577,26.853257432005066,35376.27450980392,8.801101620644586,81.0,19.0,50.0,12.0,3,15.57
0200400010441,964.0,0.3663688058489033,0.3054427294882209,0.1787164906580016,0.0852965069049553,0.0341186027619821,0.0300568643379366,0.0,32.50906199375206,-117.00599437692432,57.84,21.19077173030057,17.6668074735987,10.336961819658814,4.933549959382616,1.9734199837530464,1.7384890333062548,0.0,21.19077173030057,28.003769293257513,3.711909017059301,4.933549959382616,29.718115353371243,38429.57270511779,8.322192461862223,82.0,18.0,47.0,10.0,32,1.752727272727273
0200400013291,864.0,0.2465007776049766,0.270606531881804,0.223950233281493,0.1321928460342146,0.0629860031104199,0.0590979782270606,0.0046656298600311,32.5267211114942,-116.97608363215215,51.84,12.778600311041991,14.028242612752722,11.609580093312598,6.852877138413684,3.265194401244168,3.0636391912908243,0.2418662519440124,12.778600311041991,25.63782270606532,6.328833592534992,7.094743390357697,25.998444790046648,34809.25194401244,6.665435181606437,80.0,20.0,41.0,10.0,2,17.28
0200400013427,985.0,0.1966019417475728,0.2348300970873786,0.2360436893203883,0.1614077669902912,0.0976941747572815,0.0691747572815534,0.0042475728155339,32.50062588277035,-116.9770126798346,59.099999999999994,11.619174757281552,13.878458737864078,13.950182038834951,9.539199029126214,5.773725728155339,4.088228155339805,0.2510315533980582,11.619174757281552,27.82864077669903,9.861953883495143,9.790230582524272,23.856796116504853,32879.86771844661,6.63902209209162,79.0,21.0,47.0,12.0,11,4.925
0200400011562,847.0,0.2130249543517955,0.2471089470480827,0.2318928788800973,0.18746195982958,0.0602556299452221,0.0559951308581862,0.0042604990870359,32.512023751796455,-117.1149193129895,50.82,10.825928180158249,12.558076688983569,11.78479610468655,9.526816798539256,3.0621911138161897,2.8456725502130245,0.2165185636031649,10.825928180158249,24.34287279367012,5.907863664029215,9.74333536214242,24.573950091296407,33523.82836275107,5.982005411104267,79.0,21.0,40.0,11.0,2,16.94
0200400011401,672.0,0.2847555129434324,0.3068072866730585,0.2214765100671141,0.1035474592521572,0.0536912751677852,0.0268456375838926,0.0028763183125599,32.52808434765111,-117.11203376237567,40.32,11.481342281879195,12.37046979865772,8.92993288590604,4.17503355704698,2.1648322147651005,1.0824161073825502,0.1159731543624161,11.481342281879195,21.300402684563757,3.2472483221476507,4.291006711409397,27.92233940556089,36511.90028763184,5.9475707323350955,82.0,18.0,33.0,7.0,4,8.064
0200400015601,711.0,0.4966887417218543,0.2922185430463576,0.1274834437086092,0.0554635761589403,0.0190397350993377,0.0091059602649006,0.0,32.49632867713858,-117.00532236929202,42.66,21.188741721854303,12.466043046357616,5.438443708609271,2.366076158940398,0.8122350993377484,0.3884602649006622,0.0,21.188741721854303,17.904486754966886,1.2006953642384106,2.366076158940398,32.403973509933785,41375.44536423842,5.801765145169074,84.0,16.0,36.0,7.0,2,14.219999999999999
0200400011473,716.0,0.3099730458221024,0.2821203953279425,0.1859838274932614,0.1230907457322551,0.0655884995507637,0.0305480682839173,0.0026954177897574,32.51872876721236,-117.11984253008563,42.96,13.31644204851752,12.119892183288409,7.989865229110511,5.287978436657681,2.8176819407008087,1.312345013477089,0.1157951482479784,13.31644204851752,20.10975741239892,4.130026954177898,5.40377358490566,27.68823000898472,36497.48068283917,5.568035886593866,81.0,19.0,35.0,8.0,4,8.592
0200400013412,718.0,0.1959876543209876,0.2816358024691358,0.2291666666666666,0.136574074074074,0.095679012345679,0.0609567901234567,0.0,32.50394579987897,-116.98288086042264,43.08,8.443148148148149,12.13287037037037,9.8725,5.883611111111111,4.121851851851852,2.6260185185185185,0.0,8.443148148148149,22.00537037037037,6.74787037037037,5.883611111111111,25.02237654320988,33706.273148148146,5.506266633802012,79.0,21.0,34.0,9.0,11,3.59
0200400013465,758.0,0.1822962313759859,0.2865907099035933,0.1980718667835232,0.1560035056967572,0.1042944785276073,0.0604732690622261,0.0122699386503067,32.49332596287487,-116.98850748729473,45.48,8.290832602979842,13.034145486415426,9.008308501314636,7.095039439088518,4.743312883435583,2.750324276950044,0.5580368098159508,8.290832602979842,22.042453987730063,7.493637160385626,7.653076248904469,24.540753724802805,33123.24276950044,5.40938434803181,79.0,21.0,36.0,10.0,5,7.579999999999999
